verse_id,text,chapter,ppl_gpt,z_gpt,ppl_dicta,z_dicta,CFI,shared_seam,cfi_percentile
Isa.1.1,חזון ישעיהו בן אמוץ אשר חזה על יהודה וירושלם בימי עזיהו יותם אחז יחזקיהו מלכי יה,1,8.2205020101,-1.1981004951,321.9581108534,-0.85904906,-2.0571495551,False,3.33
Isa.1.2,שמעו שמים והאזיני ארץ כי יהוה דבר בנים גדלתי ורוממתי והם פשעו בי,1,54.8049938617,-0.0131223002,859.691028224,1.6721405692,1.659018269,False,83.73
Isa.1.3,ידע שור קנהו וחמור אבוס בעליו ישראל לא ידע עמי לא התבונן,1,107.6862202287,1.1853495005,397.0201053774,-0.6815495487,0.5037999518000001,False,66.31
Isa.1.4,הוי גוי חטא עם כבד עון זרע מרעים בנים משחיתים עזבו את יהוה נאצו את קדוש ישראל נז,1,50.3613263894,-1.208133852,474.701025407,-0.5833757784,-1.7915096304,False,8.6
Isa.1.5,על מה תכו עוד תוסיפו סרה כל ראש לחלי וכל לבב דוי,1,101.0346226724,-0.3106438744,1815.0333010399,-0.4243078342,-0.7349517086,False,46.32
Isa.1.6,מכף רגל ועד ראש אין בו מתם פצע וחבורה ומכה טריה לא זרו ולא חבשו ולא רככה בשמן,1,78.6268458981,-0.7591596941,402.8616242417,-0.6295445382,-1.3887042322999998,False,21.46
Isa.1.7,ארצכם שממה עריכם שרפות אש אדמתכם לנגדכם זרים אכלים אתה ושממה כמהפכת זרים,1,312.6174802205,1.6036896161,35356.0644864445,-0.1395906742,1.4640989419000001,False,80.95
Isa.1.8,ונותרה בת ציון כסכה בכרם כמלונה במקשה כעיר נצורה,1,231.6198491426,0.710773363,168448.3652418553,1.9611885414,2.6719619044000003,False,90.63
Isa.1.9,לולי יהוה צבאות הותיר לנו שריד כמעט כסדם היינו לעמרה דמינו,1,137.9281664922,-0.1378746422,14992.6249567248,-0.4717188927,-0.6095935349,False,49.42
Isa.1.10,שמעו דבר יהוה קציני סדם האזינו תורת אלהינו עם עמרה,1,52.8061466525,-0.6307355379,2642.9297535197,-0.5400806762,-1.1708162141,False,31.6
Isa.1.11,למה לי רב זבחיכם יאמר יהוה שבעתי עלות אילים וחלב מריאים ודם פרים וכבשים ועתודים ,1,28.5411518279,-1.096743774,2173.6558049351,-0.4231763196,-1.5199200936,False,16.65
Isa.1.12,כי תבאו לראות פני מי בקש זאת מידכם רמס חצרי,1,51.153779881,-0.3246623407,1631.9668684554,-0.5068611298,-0.8315234705,False,43.53
Isa.1.13,לא תוסיפו הביא מנחת שוא קטרת תועבה היא לי חדש ושבת קרא מקרא לא אוכל און ועצרה,1,159.5120129983,1.9763609061,689.9112430399,-0.6227516024,1.3536093036999999,False,78.62
Isa.1.14,חדשיכם ומועדיכם שנאה נפשי היו עלי לטרח נלאיתי נשא,1,40.5462815724,-0.5904212125,55595.7774602725,1.9796058506,1.3891846381000001,False,79.63
Isa.1.15,ובפרשכם כפיכם אעלים עיני מכם גם כי תרבו תפלה אינני שמע ידיכם דמים מלאו,1,34.2678086576,-0.8842298134,9038.1193188487,-0.2449527397,-1.1291825531,False,33.31
