verse_id,text,chapter,z_gpt,z_dicta,z_berel,CFI,CFI_berel,shared_seam,seam_berel
Isa.1.1,חזון ישעיהו בן אמוץ אשר חזה על יהודה וירושלם בימי עזיהו יותם אחז יחזקיהו מלכי יה,1,-1.1981004951,-0.85904906,-0.638779825517562,-2.0571495551,-1.836880320617562,False,False
Isa.1.2,שמעו שמים והאזיני ארץ כי יהוה דבר בנים גדלתי ורוממתי והם פשעו בי,1,-0.0131223002,1.6721405692,1.695288575105802,1.659018269,1.682166274905802,False,False
Isa.1.3,ידע שור קנהו וחמור אבוס בעליו ישראל לא ידע עמי לא התבונן,1,1.1853495005,-0.6815495487,-0.6664919371040128,0.5037999518000001,0.5188575633959873,False,False
Isa.1.4,הוי גוי חטא עם כבד עון זרע מרעים בנים משחיתים עזבו את יהוה נאצו את קדוש ישראל נז,1,-1.208133852,-0.5833757784,-0.4810276306439887,-1.7915096304,-1.689161482643989,False,False
Isa.1.5,על מה תכו עוד תוסיפו סרה כל ראש לחלי וכל לבב דוי,1,-0.3106438744,-0.4243078342,-0.5156910618122263,-0.7349517086,-0.8263349362122263,False,False
Isa.1.6,מכף רגל ועד ראש אין בו מתם פצע וחבורה ומכה טריה לא זרו ולא חבשו ולא רככה בשמן,1,-0.7591596941,-0.6295445382,-0.5321693197285372,-1.3887042322999998,-1.2913290138285372,False,False
Isa.1.7,ארצכם שממה עריכם שרפות אש אדמתכם לנגדכם זרים אכלים אתה ושממה כמהפכת זרים,1,1.6036896161,-0.1395906742,-0.5032215912227955,1.4640989419,1.1004680248772043,False,False
Isa.1.8,ונותרה בת ציון כסכה בכרם כמלונה במקשה כעיר נצורה,1,0.710773363,1.9611885414,1.9706012800555848,2.6719619044000003,2.681374643055585,False,False
Isa.1.9,לולי יהוה צבאות הותיר לנו שריד כמעט כסדם היינו לעמרה דמינו,1,-0.1378746422,-0.4717188927,-0.1828520395378589,-0.6095935349,-0.320726681737859,False,False
Isa.1.10,שמעו דבר יהוה קציני סדם האזינו תורת אלהינו עם עמרה,1,-0.6307355379,-0.5400806762,-0.6155426274581892,-1.1708162141,-1.2462781653581891,False,False
