alpha,min_size,penalty,n_regimes,all_boundary_positions,nearest_boundary_to_ch40,verse_reference,offset_from_40_1,within_15_verses
1.0,20,1.0,23,"[60, 80, 175, 230, 255, 290, 335, 420, 455, 530, 560, 605, 640, 675, 780, 845, 930, 950, 995, 1140, 1165, 1230, 1255]",780,Isa.40.15,14,True
1.0,20,1.43,14,"[60, 80, 175, 230, 255, 290, 335, 420, 455, 605, 640, 675, 780, 995]",780,Isa.40.15,14,True
1.0,20,2.0,8,"[60, 80, 175, 230, 255, 670, 780, 995]",780,Isa.40.15,14,True
1.0,30,1.0,22,"[50, 80, 175, 230, 260, 290, 335, 420, 455, 530, 560, 605, 640, 675, 780, 845, 930, 995, 1140, 1175, 1230, 1260]",780,Isa.40.15,14,True
1.0,30,1.43,13,"[50, 80, 175, 230, 290, 335, 420, 455, 605, 640, 675, 780, 995]",780,Isa.40.15,14,True
1.0,30,2.0,7,"[175, 230, 290, 330, 675, 780, 995]",780,Isa.40.15,14,True
1.0,40,1.0,18,"[50, 105, 175, 230, 290, 335, 415, 455, 605, 670, 780, 845, 930, 995, 1105, 1165, 1205, 1245]",780,Isa.40.15,14,True
1.0,40,1.43,9,"[50, 105, 175, 230, 290, 330, 675, 780, 995]",780,Isa.40.15,14,True
1.0,40,2.0,7,"[175, 230, 290, 330, 675, 780, 995]",780,Isa.40.15,14,True
2.0,20,1.0,21,"[60, 80, 175, 230, 255, 290, 325, 420, 455, 605, 640, 670, 780, 880, 930, 950, 995, 1140, 1165, 1230, 1255]",780,Isa.40.15,14,True
2.0,20,1.43,14,"[60, 80, 175, 230, 255, 290, 325, 420, 455, 605, 670, 780, 930, 955]",780,Isa.40.15,14,True
2.0,20,2.0,9,"[60, 80, 175, 230, 290, 325, 670, 780, 995]",780,Isa.40.15,14,True
2.0,30,1.0,21,"[50, 80, 175, 230, 260, 290, 325, 420, 455, 605, 640, 670, 780, 880, 930, 960, 995, 1105, 1165, 1230, 1260]",780,Isa.40.15,14,True
2.0,30,1.43,12,"[50, 80, 175, 230, 290, 325, 420, 455, 605, 670, 780, 995]",780,Isa.40.15,14,True
2.0,30,2.0,5,"[290, 325, 670, 780, 995]",780,Isa.40.15,14,True
2.0,40,1.0,18,"[45, 85, 175, 230, 290, 330, 415, 455, 605, 670, 780, 880, 930, 995, 1105, 1165, 1205, 1245]",780,Isa.40.15,14,True
2.0,40,1.43,10,"[45, 85, 175, 230, 290, 330, 605, 670, 780, 995]",780,Isa.40.15,14,True
2.0,40,2.0,5,"[290, 330, 670, 780, 995]",780,Isa.40.15,14,True
3.0,20,1.0,27,"[60, 80, 175, 230, 255, 290, 325, 365, 385, 405, 425, 455, 605, 640, 675, 745, 815, 845, 865, 885, 930, 955, 995, 1140, 1165, 1225, 1245]",745,Isa.38.10,-21,False
3.0,20,1.43,11,"[60, 80, 175, 230, 255, 290, 325, 670, 745, 930, 955]",745,Isa.38.10,-21,False
3.0,20,2.0,6,"[290, 325, 670, 745, 930, 955]",745,Isa.38.10,-21,False
3.0,30,1.0,22,"[45, 85, 175, 230, 260, 290, 325, 420, 455, 605, 640, 675, 745, 815, 845, 930, 960, 995, 1110, 1165, 1230, 1260]",745,Isa.38.10,-21,False
3.0,30,1.43,11,"[45, 85, 175, 230, 260, 290, 325, 670, 745, 930, 960]",745,Isa.38.10,-21,False
3.0,30,2.0,5,"[290, 325, 670, 745, 995]",745,Isa.38.10,-21,False
3.0,40,1.0,15,"[45, 85, 175, 230, 290, 330, 415, 455, 605, 670, 745, 930, 995, 1110, 1245]",745,Isa.38.10,-21,False
3.0,40,1.43,9,"[45, 85, 175, 230, 290, 330, 670, 745, 995]",745,Isa.38.10,-21,False
3.0,40,2.0,5,"[290, 330, 670, 745, 995]",745,Isa.38.10,-21,False
